order	delta_t	error
4	0.000300	0.000234
4	0.000600	0.000454
4	0.000900	0.000666
4	0.001200	0.000869
4	0.001500	0.001063
4	0.001800	0.001249
4	0.002100	0.001427
4	0.002400	0.001599
4	0.002700	0.001765
4	0.003000	0.001923
4	0.003300	0.002078
4	0.003600	0.002230
4	0.003900	0.002380
4	0.004200	0.002528
4	0.004500	0.002653
4	0.004800	0.002789
4	0.005100	0.002919
4	0.005400	0.003046
4	0.005700	0.003170
4	0.006000	0.003293
4	0.006300	0.003412
4	0.006600	0.003530
4	0.006900	0.003645
4	0.007200	0.003759
4	0.007500	0.003871
4	0.007800	0.003982
4	0.008100	0.004095
4	0.008400	0.004206
4	0.008700	0.004307
4	0.009000	0.004400
4	0.009300	0.004504
4	0.009600	0.004602
4	0.009900	0.004700
4	0.010200	0.004797
4	0.010500	0.004894
4	0.010800	0.004991
4	0.011100	0.005086
4	0.011400	0.005181
4	0.011700	0.005273
4	0.012000	0.005366
4	0.012300	0.005460
4	0.012600	0.005552
4	0.012900	0.005635
4	0.013200	0.005715
4	0.013500	0.005803
4	0.013800	0.005887
4	0.014100	0.005975
4	0.014400	0.006058
4	0.014700	0.006146
4	0.015000	0.006228
4	0.015300	0.006312
4	0.015600	0.006392
4	0.015900	0.006474
4	0.016200	0.006557
4	0.016500	0.006637
4	0.016800	0.006718
4	0.017100	0.006797
4	0.017400	0.006875
4	0.017700	0.006947
4	0.018000	0.007029
4	0.018300	0.007104
4	0.018600	0.007182
4	0.018900	0.007256
4	0.019200	0.007336
4	0.019500	0.007407
4	0.019800	0.007483
4	0.020100	0.007562
4	0.020400	0.007636
4	0.020700	0.007706
4	0.021000	0.007782
4	0.021300	0.007860
4	0.021600	0.007931
4	0.021900	0.007991
4	0.022200	0.008067
4	0.022500	0.008139
4	0.022800	0.008209
4	0.023100	0.008281
4	0.023400	0.008347
4	0.023700	0.008418
4	0.024000	0.008486
4	0.024300	0.008557
4	0.024600	0.008628
4	0.024900	0.008692
4	0.025200	0.008762
4	0.025500	0.008833
4	0.025800	0.008897
4	0.026100	0.008957
4	0.026400	0.009027
4	0.026700	0.009090
4	0.027000	0.009159
4	0.027300	0.009227
4	0.027600	0.009290
4	0.027900	0.009352
4	0.028200	0.009416
4	0.028500	0.009482
4	0.028800	0.009550
4	0.029100	0.009614
4	0.029400	0.009678
4	0.029700	0.009736
4	0.030000	0.009790
4	0.030300	0.009855
4	0.030600	0.009924
4	0.030900	0.009985
4	0.031200	0.010052
4	0.031500	0.010113
4	0.031800	0.010173
4	0.032100	0.010234
4	0.032400	0.010295
4	0.032700	0.010355
4	0.033000	0.010412
4	0.033300	0.010469
4	0.033600	0.010529
4	0.033900	0.010590
4	0.034200	0.010656
4	0.034500	0.010725
4	0.034800	0.010785
4	0.035100	0.010838
4	0.035400	0.010896
4	0.035700	0.010950
4	0.036000	0.011004
4	0.036300	0.011062
4	0.036600	0.011123
4	0.036900	0.011186
4	0.037200	0.011252
4	0.037500	0.011315
4	0.037800	0.011373
4	0.038100	0.011431
4	0.038400	0.011483
4	0.038700	0.011537
4	0.039000	0.011590
4	0.039300	0.011646
4	0.039600	0.011710
4	0.039900	0.011771
4	0.040200	0.011831
4	0.040500	0.011885
4	0.040800	0.011938
4	0.041100	0.011995
4	0.041400	0.012046
4	0.041700	0.012101
4	0.042000	0.012160
4	0.042300	0.012222
4	0.042600	0.012284
4	0.042900	0.012343
4	0.043200	0.012386
4	0.043500	0.012444
4	0.043800	0.012498
4	0.044100	0.012547
4	0.044400	0.012596
4	0.044700	0.012642
4	0.045000	0.012701
4	0.045300	0.012766
4	0.045600	0.012826
4	0.045900	0.012888
4	0.046200	0.012952
4	0.046500	0.013004
4	0.046800	0.013058
4	0.047100	0.013096
4	0.047400	0.013143
4	0.047700	0.013197
4	0.048000	0.013242
4	0.048300	0.013289
4	0.048600	0.013343
4	0.048900	0.013399
4	0.049200	0.013466
4	0.049500	0.013532
4	0.049800	0.013589
4	0.050100	0.013642
4	0.050400	0.013699
4	0.050700	0.013750
4	0.051000	0.013799
4	0.051300	0.013847
4	0.051600	0.013893
4	0.051900	0.013939
4	0.052200	0.013987
4	0.052500	0.014043
4	0.052800	0.014096
4	0.053100	0.014152
4	0.053400	0.014212
4	0.053700	0.014276
4	0.054000	0.014339
4	0.054300	0.014393
4	0.054600	0.014446
4	0.054900	0.014496
4	0.055200	0.014545
4	0.055500	0.014595
4	0.055800	0.014642
4	0.056100	0.014683
4	0.056400	0.014728
4	0.056700	0.014776
4	0.057000	0.014832
4	0.057300	0.014896
4	0.057600	0.014961
4	0.057900	0.015022
4	0.058200	0.015078
4	0.058500	0.015136
4	0.058800	0.015193
4	0.059100	0.015248
4	0.059400	0.015300
4	0.059700	0.015343
4	0.060000	0.015385
4	0.060300	0.015423
4	0.060600	0.015468
4	0.060900	0.015516
4	0.061200	0.015563
4	0.061500	0.015615
4	0.061800	0.015672
4	0.062100	0.015729
4	0.062400	0.015795
4	0.062700	0.015863
4	0.063000	0.015932
4	0.063300	0.015997
4	0.063600	0.016057
4	0.063900	0.016113
4	0.064200	0.016165
4	0.064500	0.016214
4	0.064800	0.016266
4	0.065100	0.016311
4	0.065400	0.016352
4	0.065700	0.016392
4	0.066000	0.016428
4	0.066300	0.016470
4	0.066600	0.016514
4	0.066900	0.016559
4	0.067200	0.016606
4	0.067500	0.016660
4	0.067800	0.016726
4	0.068100	0.016796
4	0.068400	0.016870
4	0.068700	0.016946
4	0.069000	0.017019
4	0.069300	0.017090
4	0.069600	0.017151
4	0.069900	0.017215
4	0.070200	0.017276
4	0.070500	0.017333
4	0.070800	0.017386
4	0.071100	0.017433
4	0.071400	0.017480
4	0.071700	0.017525
4	0.072000	0.017566
4	0.072300	0.017604
4	0.072600	0.017643
4	0.072900	0.017691
4	0.073200	0.017735
4	0.073500	0.017786
4	0.073800	0.017839
4	0.074100	0.017905
4	0.074400	0.017967
4	0.074700	0.018034
4	0.075000	0.018106
4	0.075300	0.018175
4	0.075600	0.018256
4	0.075900	0.018339
4	0.076200	0.018415
4	0.076500	0.018478
4	0.076800	0.018545
4	0.077100	0.018603
4	0.077400	0.018654
4	0.077700	0.018713
4	0.078000	0.018766
4	0.078300	0.018822
4	0.078600	0.018874
4	0.078900	0.018933
4	0.079200	0.018984
4	0.079500	0.019027
4	0.079800	0.019073
4	0.080100	0.019119
4	0.080400	0.019159
4	0.080700	0.019206
4	0.081000	0.019268
4	0.081300	0.019338
4	0.081600	0.019409
4	0.081900	0.019492
4	0.082200	0.019574
4	0.082500	0.019650
4	0.082800	0.019725
4	0.083100	0.019797
4	0.083400	0.019860
4	0.083700	0.019935
4	0.084000	0.020013
4	0.084300	0.020090
4	0.084600	0.020157
4	0.084900	0.020223
4	0.085200	0.020288
4	0.085500	0.020353
4	0.085800	0.020413
4	0.086100	0.020468
4	0.086400	0.020515
4	0.086700	0.020562
4	0.087000	0.020609
4	0.087300	0.020669
4	0.087600	0.020725
4	0.087900	0.020793
4	0.088200	0.020853
4	0.088500	0.020910
4	0.088800	0.020972
4	0.089100	0.021040
4	0.089400	0.021109
4	0.089700	0.021178
4	0.090000	0.021254
4	0.090300	0.021336
4	0.090600	0.021420
4	0.090900	0.021516
4	0.091200	0.021615
4	0.091500	0.021711
4	0.091800	0.021798
4	0.092100	0.021887
4	0.092400	0.021963
4	0.092700	0.022038
