order	delta_t	error
6	0.000100	0.000016
6	0.000200	0.000032
6	0.000300	0.000048
6	0.000400	0.000064
6	0.000500	0.000079
6	0.000600	0.000094
6	0.000700	0.000109
6	0.000800	0.000124
6	0.000900	0.000138
6	0.001000	0.000153
6	0.001100	0.000167
6	0.001200	0.000181
6	0.001300	0.000194
6	0.001400	0.000208
6	0.001500	0.000221
6	0.001600	0.000234
6	0.001700	0.000247
6	0.001800	0.000260
6	0.001900	0.000273
6	0.002000	0.000285
6	0.002100	0.000297
6	0.002200	0.000309
6	0.002300	0.000321
6	0.002400	0.000333
6	0.002500	0.000345
6	0.002600	0.000356
6	0.002700	0.000368
6	0.002800	0.000379
6	0.002900	0.000390
6	0.003000	0.000401
6	0.003100	0.000412
6	0.003200	0.000423
6	0.003300	0.000433
6	0.003400	0.000444
6	0.003500	0.000454
6	0.003600	0.000465
6	0.003700	0.000475
6	0.003800	0.000485
6	0.003900	0.000496
6	0.004000	0.000506
6	0.004100	0.000515
6	0.004200	0.000525
6	0.004300	0.000535
6	0.004400	0.000544
6	0.004500	0.000553
6	0.004600	0.000563
6	0.004700	0.000572
6	0.004800	0.000581
6	0.004900	0.000591
6	0.005000	0.000600
6	0.005100	0.000609
6	0.005200	0.000618
6	0.005300	0.000626
6	0.005400	0.000635
6	0.005500	0.000644
6	0.005600	0.000653
6	0.005700	0.000661
6	0.005800	0.000670
6	0.005900	0.000678
6	0.006000	0.000687
6	0.006100	0.000695
6	0.006200	0.000703
6	0.006300	0.000712
6	0.006400	0.000720
6	0.006500	0.000728
6	0.006600	0.000736
6	0.006700	0.000744
6	0.006800	0.000752
6	0.006900	0.000760
6	0.007000	0.000768
6	0.007100	0.000776
6	0.007200	0.000784
6	0.007300	0.000792
6	0.007400	0.000799
6	0.007500	0.000807
6	0.007600	0.000815
6	0.007700	0.000823
6	0.007800	0.000830
6	0.007900	0.000838
6	0.008000	0.000846
6	0.008100	0.000853
6	0.008200	0.000861
6	0.008300	0.000868
6	0.008400	0.000876
6	0.008500	0.000883
6	0.008600	0.000890
6	0.008700	0.000897
6	0.008800	0.000904
6	0.008900	0.000910
6	0.009000	0.000917
6	0.009100	0.000925
6	0.009200	0.000932
6	0.009300	0.000938
6	0.009400	0.000945
6	0.009500	0.000952
6	0.009600	0.000959
6	0.009700	0.000966
6	0.009800	0.000973
6	0.009900	0.000980
6	0.010000	0.000987
6	0.010100	0.000994
6	0.010200	0.001000
6	0.010300	0.001007
6	0.010400	0.001014
6	0.010500	0.001020
6	0.010600	0.001027
6	0.010700	0.001034
6	0.010800	0.001040
6	0.010900	0.001047
6	0.011000	0.001054
6	0.011100	0.001060
6	0.011200	0.001067
6	0.011300	0.001073
6	0.011400	0.001080
6	0.011500	0.001086
6	0.011600	0.001093
6	0.011700	0.001099
6	0.011800	0.001105
6	0.011900	0.001112
6	0.012000	0.001118
6	0.012100	0.001125
6	0.012200	0.001131
6	0.012300	0.001137
6	0.012400	0.001143
6	0.012500	0.001149
6	0.012600	0.001156
6	0.012700	0.001161
6	0.012800	0.001167
6	0.012900	0.001173
6	0.013000	0.001179
6	0.013100	0.001185
6	0.013200	0.001190
6	0.013300	0.001196
6	0.013400	0.001202
6	0.013500	0.001209
6	0.013600	0.001214
6	0.013700	0.001220
6	0.013800	0.001227
6	0.013900	0.001233
6	0.014000	0.001238
6	0.014100	0.001244
6	0.014200	0.001250
6	0.014300	0.001256
6	0.014400	0.001262
6	0.014500	0.001268
6	0.014600	0.001274
6	0.014700	0.001280
6	0.014800	0.001285
6	0.014900	0.001291
6	0.015000	0.001297
6	0.015100	0.001303
6	0.015200	0.001309
6	0.015300	0.001314
6	0.015400	0.001320
6	0.015500	0.001326
6	0.015600	0.001331
6	0.015700	0.001337
6	0.015800	0.001342
6	0.015900	0.001348
6	0.016000	0.001354
6	0.016100	0.001359
6	0.016200	0.001365
6	0.016300	0.001370
6	0.016400	0.001375
6	0.016500	0.001381
6	0.016600	0.001386
6	0.016700	0.001391
6	0.016800	0.001397
6	0.016900	0.001402
6	0.017000	0.001408
6	0.017100	0.001413
6	0.017200	0.001419
6	0.017300	0.001424
6	0.017400	0.001430
6	0.017500	0.001435
6	0.017600	0.001440
6	0.017700	0.001446
6	0.017800	0.001451
6	0.017900	0.001456
6	0.018000	0.001462
6	0.018100	0.001467
6	0.018200	0.001473
6	0.018300	0.001478
6	0.018400	0.001483
6	0.018500	0.001488
6	0.018600	0.001494
6	0.018700	0.001499
6	0.018800	0.001505
6	0.018900	0.001510
6	0.019000	0.001515
6	0.019100	0.001520
6	0.019200	0.001525
6	0.019300	0.001530
6	0.019400	0.001535
6	0.019500	0.001540
6	0.019600	0.001546
6	0.019700	0.001551
6	0.019800	0.001556
6	0.019900	0.001561
6	0.020000	0.001567
6	0.020100	0.001572
6	0.020200	0.001577
6	0.020300	0.001582
6	0.020400	0.001587
6	0.020500	0.001592
6	0.020600	0.001597
6	0.020700	0.001602
6	0.020800	0.001608
6	0.020900	0.001613
6	0.021000	0.001619
6	0.021100	0.001624
6	0.021200	0.001630
6	0.021300	0.001635
6	0.021400	0.001640
6	0.021500	0.001645
6	0.021600	0.001649
6	0.021700	0.001654
6	0.021800	0.001658
6	0.021900	0.001663
6	0.022000	0.001668
6	0.022100	0.001672
6	0.022200	0.001677
6	0.022300	0.001682
6	0.022400	0.001688
6	0.022500	0.001693
6	0.022600	0.001698
6	0.022700	0.001703
6	0.022800	0.001708
6	0.022900	0.001712
6	0.023000	0.001717
6	0.023100	0.001722
6	0.023200	0.001727
6	0.023300	0.001731
6	0.023400	0.001736
6	0.023500	0.001740
6	0.023600	0.001745
6	0.023700	0.001750
6	0.023800	0.001755
6	0.023900	0.001760
6	0.024000	0.001765
6	0.024100	0.001770
6	0.024200	0.001775
6	0.024300	0.001780
6	0.024400	0.001785
6	0.024500	0.001789
6	0.024600	0.001794
6	0.024700	0.001799
6	0.024800	0.001804
6	0.024900	0.001808
6	0.025000	0.001813
6	0.025100	0.001818
6	0.025200	0.001823
6	0.025300	0.001828
6	0.025400	0.001832
6	0.025500	0.001837
6	0.025600	0.001842
6	0.025700	0.001846
6	0.025800	0.001850
6	0.025900	0.001855
6	0.026000	0.001859
6	0.026100	0.001864
6	0.026200	0.001868
6	0.026300	0.001872
6	0.026400	0.001876
6	0.026500	0.001881
6	0.026600	0.001886
6	0.026700	0.001890
6	0.026800	0.001895
6	0.026900	0.001900
6	0.027000	0.001904
6	0.027100	0.001909
6	0.027200	0.001914
6	0.027300	0.001918
6	0.027400	0.001923
6	0.027500	0.001927
6	0.027600	0.001932
6	0.027700	0.001936
6	0.027800	0.001940
6	0.027900	0.001945
6	0.028000	0.001949
6	0.028100	0.001954
6	0.028200	0.001958
6	0.028300	0.001963
6	0.028400	0.001967
6	0.028500	0.001972
6	0.028600	0.001977
6	0.028700	0.001981
6	0.028800	0.001986
6	0.028900	0.001991
6	0.029000	0.001995
6	0.029100	0.001999
6	0.029200	0.002004
6	0.029300	0.002008
6	0.029400	0.002012
6	0.029500	0.002016
6	0.029600	0.002020
6	0.029700	0.002024
6	0.029800	0.002028
6	0.029900	0.002032
6	0.030000	0.002036
6	0.030100	0.002040
6	0.030200	0.002044
6	0.030300	0.002049
6	0.030400	0.002053
6	0.030500	0.002058
6	0.030600	0.002062
6	0.030700	0.002067
6	0.030800	0.002071
6	0.030900	0.002076
6	0.031000	0.002080
6	0.031100	0.002084
6	0.031200	0.002089
6	0.031300	0.002093
6	0.031400	0.002097
6	0.031500	0.002102
6	0.031600	0.002106
6	0.031700	0.002110
6	0.031800	0.002114
6	0.031900	0.002118
6	0.032000	0.002123
6	0.032100	0.002127
6	0.032200	0.002131
6	0.032300	0.002135
6	0.032400	0.002139
6	0.032500	0.002144
6	0.032600	0.002148
6	0.032700	0.002152
6	0.032800	0.002156
6	0.032900	0.002160
6	0.033000	0.002164
6	0.033100	0.002168
6	0.033200	0.002172
6	0.033300	0.002175
6	0.033400	0.002179
6	0.033500	0.002183
6	0.033600	0.002187
6	0.033700	0.002191
6	0.033800	0.002195
6	0.033900	0.002200
6	0.034000	0.002204
6	0.034100	0.002209
6	0.034200	0.002213
6	0.034300	0.002218
6	0.034400	0.002222
6	0.034500	0.002227
6	0.034600	0.002231
6	0.034700	0.002235
6	0.034800	0.002239
6	0.034900	0.002243
6	0.035000	0.002247
6	0.035100	0.002251
6	0.035200	0.002255
6	0.035300	0.002259
6	0.035400	0.002262
6	0.035500	0.002266
6	0.035600	0.002270
6	0.035700	0.002274
6	0.035800	0.002278
6	0.035900	0.002281
6	0.036000	0.002285
6	0.036100	0.002289
6	0.036200	0.002293
6	0.036300	0.002297
6	0.036400	0.002301
6	0.036500	0.002305
6	0.036600	0.002310
6	0.036700	0.002314
6	0.036800	0.002318
6	0.036900	0.002323
6	0.037000	0.002327
6	0.037100	0.002332
6	0.037200	0.002336
6	0.037300	0.002340
6	0.037400	0.002345
6	0.037500	0.002349
6	0.037600	0.002353
6	0.037700	0.002357
6	0.037800	0.002361
6	0.037900	0.002365
6	0.038000	0.002369
6	0.038100	0.002373
6	0.038200	0.002377
6	0.038300	0.002380
6	0.038400	0.002384
6	0.038500	0.002388
6	0.038600	0.002391
6	0.038700	0.002394
6	0.038800	0.002398
6	0.038900	0.002402
6	0.039000	0.002405
6	0.039100	0.002409
6	0.039200	0.002414
6	0.039300	0.002418
6	0.039400	0.002422
6	0.039500	0.002426
6	0.039600	0.002430
6	0.039700	0.002435
6	0.039800	0.002439
6	0.039900	0.002443
6	0.040000	0.002447
6	0.040100	0.002451
6	0.040200	0.002455
6	0.040300	0.002459
6	0.040400	0.002463
6	0.040500	0.002467
6	0.040600	0.002470
6	0.040700	0.002474
6	0.040800	0.002477
6	0.040900	0.002481
6	0.041000	0.002485
6	0.041100	0.002489
6	0.041200	0.002492
