delta_t	error
0.021200	0.016935
0.021300	0.016987
0.021400	0.017038
0.021500	0.017090
0.021600	0.017137
0.021700	0.017185
0.021800	0.017234
0.021900	0.017281
0.022000	0.017328
0.022100	0.017375
0.022200	0.017425
0.022300	0.017486
0.022400	0.017549
0.022500	0.017605
0.022600	0.017653
0.022700	0.017696
0.022800	0.017747
0.022900	0.017800
0.023000	0.017853
0.023100	0.017904
0.023200	0.017956
0.023300	0.018002
0.023400	0.018048
0.023500	0.018098
0.023600	0.018150
0.023700	0.018203
0.023800	0.018256
0.023900	0.018304
0.024000	0.018354
0.024100	0.018406
0.024200	0.018459
0.024300	0.018510
0.024400	0.018557
0.024500	0.018605
0.024600	0.018654
0.024700	0.018705
0.024800	0.018752
0.024900	0.018798
0.025000	0.018847
0.025100	0.018900
0.025200	0.018952
0.025300	0.019000
0.025400	0.019052
0.025500	0.019105
0.025600	0.019152
0.025700	0.019198
0.025800	0.019245
0.025900	0.019290
0.026000	0.019334
0.026100	0.019378
0.026200	0.019421
0.026300	0.019463
0.026400	0.019506
0.026500	0.019559
0.026600	0.019615
0.026700	0.019668
0.026800	0.019719
0.026900	0.019760
0.027000	0.019801
0.027100	0.019852
0.027200	0.019903
0.027300	0.019953
0.027400	0.020000
0.027500	0.020049
0.027600	0.020097
0.027700	0.020139
0.027800	0.020180
0.027900	0.020226
0.028000	0.020272
0.028100	0.020317
0.028200	0.020365
0.028300	0.020412
0.028400	0.020459
0.028500	0.020507
0.028600	0.020558
0.028700	0.020610
0.028800	0.020663
0.028900	0.020709
0.029000	0.020754
0.029100	0.020801
0.029200	0.020850
0.029300	0.020896
0.029400	0.020938
0.029500	0.020981
0.029600	0.021026
0.029700	0.021071
0.029800	0.021112
0.029900	0.021152
0.030000	0.021193
0.030100	0.021233
0.030200	0.021273
0.030300	0.021315
0.030400	0.021358
0.030500	0.021403
0.030600	0.021450
0.030700	0.021502
0.030800	0.021556
0.030900	0.021608
0.031000	0.021651
0.031100	0.021692
0.031200	0.021730
0.031300	0.021772
0.031400	0.021822
0.031500	0.021870
0.031600	0.021913
0.031700	0.021956
0.031800	0.022001
0.031900	0.022048
0.032000	0.022091
0.032100	0.022133
0.032200	0.022178
0.032300	0.022223
0.032400	0.022267
0.032500	0.022315
0.032600	0.022364
0.032700	0.022407
0.032800	0.022449
0.032900	0.022491
0.033000	0.022533
0.033100	0.022577
0.033200	0.022620
0.033300	0.022659
0.033400	0.022700
0.033500	0.022742
0.033600	0.022786
0.033700	0.022830
0.033800	0.022870
0.033900	0.022911
0.034000	0.022954
0.034100	0.022997
0.034200	0.023039
0.034300	0.023082
0.034400	0.023124
0.034500	0.023168
0.034600	0.023214
0.034700	0.023260
0.034800	0.023308
0.034900	0.023356
0.035000	0.023402
0.035100	0.023445
0.035200	0.023482
0.035300	0.023517
0.035400	0.023554
0.035500	0.023594
0.035600	0.023638
0.035700	0.023680
0.035800	0.023718
0.035900	0.023754
0.036000	0.023792
0.036100	0.023834
0.036200	0.023883
0.036300	0.023927
0.036400	0.023967
0.036500	0.024011
0.036600	0.024055
0.036700	0.024100
0.036800	0.024147
0.036900	0.024197
0.037000	0.024245
0.037100	0.024289
0.037200	0.024332
0.037300	0.024375
0.037400	0.024417
0.037500	0.024457
0.037600	0.024498
0.037700	0.024536
0.037800	0.024573
0.037900	0.024609
0.038000	0.024646
0.038100	0.024682
0.038200	0.024717
0.038300	0.024755
0.038400	0.024798
0.038500	0.024841
0.038600	0.024879
0.038700	0.024916
0.038800	0.024957
0.038900	0.025002
0.039000	0.025046
0.039100	0.025089
0.039200	0.025132
0.039300	0.025174
0.039400	0.025215
0.039500	0.025257
0.039600	0.025298
0.039700	0.025343
0.039800	0.025390
0.039900	0.025438
0.040000	0.025482
0.040100	0.025523
0.040200	0.025563
0.040300	0.025602
0.040400	0.025647
0.040500	0.025689
0.040600	0.025724
0.040700	0.025758
0.040800	0.025794
0.040900	0.025833
0.041000	0.025874
0.041100	0.025908
0.041200	0.025943
0.041300	0.025982
0.041400	0.026021
0.041500	0.026061
0.041600	0.026103
0.041700	0.026148
0.041800	0.026187
0.041900	0.026224
0.042000	0.026265
0.042100	0.026311
0.042200	0.026362
0.042300	0.026415
0.042400	0.026465
0.042500	0.026508
0.042600	0.026550
0.042700	0.026596
0.042800	0.026644
0.042900	0.026688
0.043000	0.026727
0.043100	0.026765
0.043200	0.026801
0.043300	0.026835
0.043400	0.026870
0.043500	0.026906
0.043600	0.026940
0.043700	0.026972
0.043800	0.027006
0.043900	0.027048
0.044000	0.027090
0.044100	0.027124
0.044200	0.027158
0.044300	0.027192
0.044400	0.027220
0.044500	0.027250
0.044600	0.027287
0.044700	0.027326
0.044800	0.027364
0.044900	0.027405
0.045000	0.027446
0.045100	0.027494
0.045200	0.027546
0.045300	0.027591
0.045400	0.027631
0.045500	0.027675
0.045600	0.027723
0.045700	0.027769
0.045800	0.027814
0.045900	0.027865
0.046000	0.027918
0.046100	0.027967
0.046200	0.028009
0.046300	0.028050
0.046400	0.028093
0.046500	0.028135
0.046600	0.028177
0.046700	0.028223
0.046800	0.028260
0.046900	0.028292
0.047000	0.028323
0.047100	0.028356
0.047200	0.028388
0.047300	0.028418
0.047400	0.028449
0.047500	0.028481
0.047600	0.028514
0.047700	0.028540
0.047800	0.028569
0.047900	0.028602
0.048000	0.028635
0.048100	0.028670
0.048200	0.028705
0.048300	0.028743
0.048400	0.028784
0.048500	0.028815
0.048600	0.028848
0.048700	0.028889
0.048800	0.028932
0.048900	0.028981
0.049000	0.029029
0.049100	0.029075
0.049200	0.029117
0.049300	0.029169
0.049400	0.029226
0.049500	0.029275
0.049600	0.029321
0.049700	0.029366
0.049800	0.029409
0.049900	0.029451
0.050000	0.029491
0.050100	0.029530
0.050200	0.029576
0.050300	0.029622
0.050400	0.029664
0.050500	0.029704
0.050600	0.029743
0.050700	0.029783
0.050800	0.029820
0.050900	0.029853
0.051000	0.029889
0.051100	0.029922
0.051200	0.029951
0.051300	0.029982
0.051400	0.030012
0.051500	0.030039
0.051600	0.030061
0.051700	0.030087
0.051800	0.030118
0.051900	0.030152
0.052000	0.030188
0.052100	0.030222
0.052200	0.030258
0.052300	0.030298
0.052400	0.030336
0.052500	0.030372
0.052600	0.030409
0.052700	0.030452
0.052800	0.030497
0.052900	0.030545
0.053000	0.030594
0.053100	0.030640
0.053200	0.030682
0.053300	0.030718
0.053400	0.030759
0.053500	0.030808
0.053600	0.030856
0.053700	0.030906
0.053800	0.030959
0.053900	0.031003
0.054000	0.031046
0.054100	0.031092
0.054200	0.031134
0.054300	0.031171
0.054400	0.031209
0.054500	0.031246
0.054600	0.031284
0.054700	0.031323
0.054800	0.031359
0.054900	0.031397
0.055000	0.031433
0.055100	0.031464
0.055200	0.031493
0.055300	0.031527
0.055400	0.031561
0.055500	0.031595
0.055600	0.031628
0.055700	0.031667
0.055800	0.031702
0.055900	0.031726
0.056000	0.031753
0.056100	0.031786
0.056200	0.031820
0.056300	0.031852
0.056400	0.031884
0.056500	0.031917
0.056600	0.031949
0.056700	0.031987
0.056800	0.032028
0.056900	0.032072
0.057000	0.032122
0.057100	0.032171
0.057200	0.032220
0.057300	0.032270
0.057400	0.032317
0.057500	0.032363
0.057600	0.032404
0.057700	0.032440
0.057800	0.032488
0.057900	0.032535
0.058000	0.032578
0.058100	0.032619
0.058200	0.032662
0.058300	0.032706
0.058400	0.032751
0.058500	0.032794
0.058600	0.032835
0.058700	0.032867
0.058800	0.032907
0.058900	0.032949
0.059000	0.032989
0.059100	0.033028
0.059200	0.033066
0.059300	0.033107
0.059400	0.033150
0.059500	0.033186
0.059600	0.033213
0.059700	0.033238
0.059800	0.033269
0.059900	0.033303
0.060000	0.033335
0.060100	0.033364
0.060200	0.033391
0.060300	0.033417
0.060400	0.033445
0.060500	0.033475
0.060600	0.033508
0.060700	0.033542
0.060800	0.033580
0.060900	0.033613
0.061000	0.033650
0.061100	0.033688
0.061200	0.033726
0.061300	0.033767
0.061400	0.033811
0.061500	0.033852
0.061600	0.033885
0.061700	0.033918
0.061800	0.033958
0.061900	0.033999
0.062000	0.034040
0.062100	0.034083
0.062200	0.034128
0.062300	0.034174
0.062400	0.034221
0.062500	0.034275
0.062600	0.034333
0.062700	0.034382
0.062800	0.034428
0.062900	0.034480
0.063000	0.034533
0.063100	0.034580
0.063200	0.034628
0.063300	0.034676
0.063400	0.034722
0.063500	0.034773
0.063600	0.034825
0.063700	0.034865
0.063800	0.034898
0.063900	0.034935
0.064000	0.034973
0.064100	0.035010
0.064200	0.035046
0.064300	0.035083
0.064400	0.035119
0.064500	0.035152
0.064600	0.035183
0.064700	0.035216
0.064800	0.035252
0.064900	0.035287
0.065000	0.035321
0.065100	0.035355
0.065200	0.035392
0.065300	0.035429
0.065400	0.035457
0.065500	0.035486
0.065600	0.035515
0.065700	0.035546
0.065800	0.035571
0.065900	0.035585
0.066000	0.035606
0.066100	0.035640
0.066200	0.035674
0.066300	0.035707
0.066400	0.035738
0.066500	0.035772
0.066600	0.035805
0.066700	0.035838
0.066800	0.035876
0.066900	0.035922
0.067000	0.035960
0.067100	0.035988
0.067200	0.036018
0.067300	0.036054
0.067400	0.036093
0.067500	0.036135
0.067600	0.036181
0.067700	0.036227
0.067800	0.036276
0.067900	0.036328
0.068000	0.036377
0.068100	0.036420
0.068200	0.036465
0.068300	0.036516
0.068400	0.036566
0.068500	0.036618
0.068600	0.036672
0.068700	0.036726
0.068800	0.036779
0.068900	0.036832
0.069000	0.036883
0.069100	0.036935
0.069200	0.036989
0.069300	0.037041
0.069400	0.037097
0.069500	0.037149
0.069600	0.037193
0.069700	0.037234
0.069800	0.037274
0.069900	0.037318
0.070000	0.037365
0.070100	0.037412
0.070200	0.037460
0.070300	0.037504
0.070400	0.037548
0.070500	0.037592
0.070600	0.037629
0.070700	0.037664
0.070800	0.037704
0.070900	0.037743
0.071000	0.037779
0.071100	0.037813
0.071200	0.037848
0.071300	0.037880
0.071400	0.037912
0.071500	0.037940
0.071600	0.037968
0.071700	0.038000
0.071800	0.038025
0.071900	0.038051
0.072000	0.038078
0.072100	0.038103
0.072200	0.038126
0.072300	0.038149
0.072400	0.038172
0.072500	0.038197
0.072600	0.038225
0.072700	0.038261
0.072800	0.038298
0.072900	0.038329
0.073000	0.038365
0.073100	0.038402
0.073200	0.038439
0.073300	0.038478
0.073400	0.038517
0.073500	0.038557
0.073600	0.038597
0.073700	0.038637
0.073800	0.038679
0.073900	0.038722
0.074000	0.038764
0.074100	0.038804
0.074200	0.038856
0.074300	0.038905
0.074400	0.038952
0.074500	0.038998
0.074600	0.039046
0.074700	0.039095
0.074800	0.039144
0.074900	0.039193
0.075000	0.039241
0.075100	0.039293
0.075200	0.039352
0.075300	0.039408
0.075400	0.039452
0.075500	0.039501
0.075600	0.039559
0.075700	0.039617
0.075800	0.039675
0.075900	0.039732
0.076000	0.039792
0.076100	0.039847
0.076200	0.039896
0.076300	0.039943
0.076400	0.039993
0.076500	0.040040
0.076600	0.040089
0.076700	0.040149
0.076800	0.040200
0.076900	0.040245
0.077000	0.040293
0.077100	0.040337
0.077200	0.040377
0.077300	0.040418
0.077400	0.040459
0.077500	0.040499
0.077600	0.040536
0.077700	0.040577
0.077800	0.040617
0.077900	0.040654
0.078000	0.040692
0.078100	0.040729
0.078200	0.040765
0.078300	0.040802
0.078400	0.040838
0.078500	0.040879
0.078600	0.040925
0.078700	0.040968
0.078800	0.041004
0.078900	0.041039
0.079000	0.041076
0.079100	0.041114
0.079200	0.041151
0.079300	0.041183
0.079400	0.041216
0.079500	0.041249
0.079600	0.041278
0.079700	0.041307
0.079800	0.041340
0.079900	0.041384
0.080000	0.041426
0.080100	0.041460
0.080200	0.041488
0.080300	0.041520
0.080400	0.041557
0.080500	0.041595
0.080600	0.041630
0.080700	0.041668
0.080800	0.041709
0.080900	0.041756
0.081000	0.041806
0.081100	0.041861
0.081200	0.041915
0.081300	0.041960
0.081400	0.042008
0.081500	0.042060
0.081600	0.042112
0.081700	0.042165
0.081800	0.042221
0.081900	0.042277
0.082000	0.042333
0.082100	0.042395
0.082200	0.042453
0.082300	0.042507
0.082400	0.042562
0.082500	0.042616
0.082600	0.042670
0.082700	0.042733
0.082800	0.042793
0.082900	0.042844
0.083000	0.042889
0.083100	0.042936
0.083200	0.042983
0.083300	0.043033
0.083400	0.043085
0.083500	0.043136
0.083600	0.043193
0.083700	0.043250
0.083800	0.043305
0.083900	0.043360
0.084000	0.043415
0.084100	0.043481
0.084200	0.043553
0.084300	0.043613
0.084400	0.043666
0.084500	0.043715
0.084600	0.043763
0.084700	0.043812
0.084800	0.043860
0.084900	0.043907
0.085000	0.043953
0.085100	0.043996
0.085200	0.044041
0.085300	0.044086
0.085400	0.044136
0.085500	0.044186
0.085600	0.044225
0.085700	0.044265
0.085800	0.044306
0.085900	0.044344
0.086000	0.044379
0.086100	0.044411
0.086200	0.044446
0.086300	0.044481
0.086400	0.044515
0.086500	0.044549
0.086600	0.044585
0.086700	0.044617
0.086800	0.044650
0.086900	0.044684
0.087000	0.044723
0.087100	0.044773
0.087200	0.044818
0.087300	0.044859
0.087400	0.044905
0.087500	0.044957
0.087600	0.045007
0.087700	0.045053
0.087800	0.045100
0.087900	0.045145
0.088000	0.045187
0.088100	0.045234
0.088200	0.045280
0.088300	0.045322
0.088400	0.045365
0.088500	0.045412
0.088600	0.045464
0.088700	0.045503
0.088800	0.045543
0.088900	0.045592
0.089000	0.045644
0.089100	0.045693
0.089200	0.045739
0.089300	0.045786
0.089400	0.045832
0.089500	0.045881
0.089600	0.045931
0.089700	0.045980
0.089800	0.046032
0.089900	0.046085
0.090000	0.046140
0.090100	0.046206
0.090200	0.046271
0.090300	0.046321
0.090400	0.046374
0.090500	0.046437
0.090600	0.046505
0.090700	0.046572
0.090800	0.046642
0.090900	0.046716
0.091000	0.046790
0.091100	0.046864
0.091200	0.046940
0.091300	0.047017
0.091400	0.047092
0.091500	0.047166
0.091600	0.047237
0.091700	0.047306
0.091800	0.047378
0.091900	0.047442
0.092000	0.047496
0.092100	0.047548
0.092200	0.047604
0.092300	0.047662
0.092400	0.047718
0.092500	0.047775
0.092600	0.047830
0.092700	0.047884
0.092800	0.047940
0.092900	0.047995
0.093000	0.048051
0.093100	0.048108
0.093200	0.048167
0.093300	0.048233
0.093400	0.048285
0.093500	0.048323
0.093600	0.048368
0.093700	0.048418
0.093800	0.048471
0.093900	0.048524
0.094000	0.048576
0.094100	0.048630
0.094200	0.048681
0.094300	0.048733
0.094400	0.048783
0.094500	0.048827
0.094600	0.048872
0.094700	0.048918
0.094800	0.048962
0.094900	0.049019
0.095000	0.049075
0.095100	0.049123
0.095200	0.049176
0.095300	0.049231
0.095400	0.049282
0.095500	0.049332
0.095600	0.049379
0.095700	0.049423
0.095800	0.049465
0.095900	0.049506
0.096000	0.049548
0.096100	0.049590
0.096200	0.049628
0.096300	0.049664
0.096400	0.049692
0.096500	0.049723
0.096600	0.049771
0.096700	0.049812
0.096800	0.049849
0.096900	0.049889
0.097000	0.049932
0.097100	0.049978
0.097200	0.050026
0.097300	0.050075
0.097400	0.050125
0.097500	0.050177
0.097600	0.050227
0.097700	0.050277
0.097800	0.050322
0.097900	0.050369
0.098000	0.050420
0.098100	0.050478
0.098200	0.050537
0.098300	0.050601
0.098400	0.050661
0.098500	0.050716
0.098600	0.050773
0.098700	0.050832
0.098800	0.050890
0.098900	0.050950
0.099000	0.051014
0.099100	0.051081
0.099200	0.051151
0.099300	0.051220
0.099400	0.051289
0.099500	0.051364
0.099600	0.051442
0.099700	0.051518
0.099800	0.051581
0.099900	0.051643
0.100000	0.051711
0.100100	0.051780
0.100200	0.051847
0.100300	0.051915
0.100400	0.051984
0.100500	0.052049
0.100600	0.052116
0.100700	0.052185
0.100800	0.052257
0.100900	0.052331
0.101000	0.052406
0.101100	0.052478
0.101200	0.052558
0.101300	0.052649
0.101400	0.052736
0.101500	0.052810
0.101600	0.052883
0.101700	0.052964
0.101800	0.053045
0.101900	0.053116
0.102000	0.053187
0.102100	0.053261
0.102200	0.053335
0.102300	0.053412
0.102400	0.053489
0.102500	0.053564
0.102600	0.053636
0.102700	0.053709
0.102800	0.053780
0.102900	0.053843
0.103000	0.053903
0.103100	0.053970
0.103200	0.054038
0.103300	0.054101
0.103400	0.054164
0.103500	0.054227
0.103600	0.054290
0.103700	0.054353
0.103800	0.054416
0.103900	0.054479
0.104000	0.054539
0.104100	0.054592
0.104200	0.054639
0.104300	0.054691
0.104400	0.054748
0.104500	0.054806
0.104600	0.054867
0.104700	0.054927
0.104800	0.054980
0.104900	0.055036
0.105000	0.055093
0.105100	0.055148
0.105200	0.055202
0.105300	0.055256
0.105400	0.055311
0.105500	0.055373
0.105600	0.055435
0.105700	0.055497
0.105800	0.055547
0.105900	0.055590
0.106000	0.055635
0.106100	0.055685
0.106200	0.055735
0.106300	0.055785
0.106400	0.055832
0.106500	0.055882
0.106600	0.055936
0.106700	0.055985
0.106800	0.056039
0.106900	0.056094
0.107000	0.056152
0.107100	0.056211
0.107200	0.056265
0.107300	0.056313
0.107400	0.056368
0.107500	0.056423
0.107600	0.056473
0.107700	0.056519
0.107800	0.056572
0.107900	0.056624
0.108000	0.056674
0.108100	0.056726
0.108200	0.056780
0.108300	0.056833
0.108400	0.056875
0.108500	0.056919
0.108600	0.056974
0.108700	0.057030
0.108800	0.057087
0.108900	0.057146
0.109000	0.057207
0.109100	0.057268
0.109200	0.057327
0.109300	0.057391
0.109400	0.057457
0.109500	0.057521
0.109600	0.057589
0.109700	0.057662
0.109800	0.057735
0.109900	0.057808
0.110000	0.057884
0.110100	0.057957
0.110200	0.058023
0.110300	0.058105
0.110400	0.058193
0.110500	0.058276
0.110600	0.058358
0.110700	0.058440
0.110800	0.058521
0.110900	0.058606
0.111000	0.058695
0.111100	0.058777
0.111200	0.058858
0.111300	0.058940
0.111400	0.059022
0.111500	0.059105
0.111600	0.059192
0.111700	0.059278
0.111800	0.059364
0.111900	0.059452
0.112000	0.059539
0.112100	0.059627
0.112200	0.059721
0.112300	0.059804
0.112400	0.059882
0.112500	0.059961
0.112600	0.060041
0.112700	0.060124
0.112800	0.060207
0.112900	0.060290
0.113000	0.060380
0.113100	0.060461
0.113200	0.060534
0.113300	0.060609
0.113400	0.060684
0.113500	0.060760
0.113600	0.060838
0.113700	0.060918
0.113800	0.061000
0.113900	0.061081
0.114000	0.061167
0.114100	0.061256
0.114200	0.061335
0.114300	0.061418
0.114400	0.061510
0.114500	0.061607
0.114600	0.061703
0.114700	0.061797
0.114800	0.061895
0.114900	0.061981
0.115000	0.062056
0.115100	0.062137
0.115200	0.062219
0.115300	0.062303
0.115400	0.062386
0.115500	0.062464
0.115600	0.062542
0.115700	0.062618
0.115800	0.062692
0.115900	0.062761
0.116000	0.062835
0.116100	0.062907
0.116200	0.062970
0.116300	0.063035
0.116400	0.063101
0.116500	0.063166
0.116600	0.063227
0.116700	0.063284
0.116800	0.063341
0.116900	0.063413
0.117000	0.063484
0.117100	0.063542
0.117200	0.063602
0.117300	0.063667
0.117400	0.063732
0.117500	0.063791
0.117600	0.063849
0.117700	0.063910
0.117800	0.063975
0.117900	0.064041
0.118000	0.064113
0.118100	0.064181
0.118200	0.064242
0.118300	0.064303
0.118400	0.064365
0.118500	0.064425
0.118600	0.064486
0.118700	0.064554
0.118800	0.064631
0.118900	0.064703
0.119000	0.064757
0.119100	0.064812
0.119200	0.064874
0.119300	0.064936
0.119400	0.064999
0.119500	0.065065
0.119600	0.065132
0.119700	0.065197
0.119800	0.065264
0.119900	0.065332
0.120000	0.065398
0.120100	0.065466
0.120200	0.065534
0.120300	0.065608
0.120400	0.065682
0.120500	0.065753
0.120600	0.065822
0.120700	0.065892
0.120800	0.065963
0.120900	0.066028
0.121000	0.066100
0.121100	0.066180
0.121200	0.066254
0.121300	0.066332
0.121400	0.066406
0.121500	0.066469
0.121600	0.066530
0.121700	0.066596
0.121800	0.066668
0.121900	0.066741
0.122000	0.066815
0.122100	0.066889
0.122200	0.066959
0.122300	0.067030
0.122400	0.067105
0.122500	0.067179
0.122600	0.067252
0.122700	0.067325
0.122800	0.067401
0.122900	0.067481
0.123000	0.067577
0.123100	0.067677
0.123200	0.067765
0.123300	0.067853
0.123400	0.067941
0.123500	0.068034
0.123600	0.068139
0.123700	0.068238
0.123800	0.068333
0.123900	0.068429
0.124000	0.068526
0.124100	0.068621
0.124200	0.068716
0.124300	0.068816
0.124400	0.068913
0.124500	0.069011
0.124600	0.069108
0.124700	0.069206
0.124800	0.069308
0.124900	0.069409
0.125000	0.069513
0.125100	0.069619
0.125200	0.069718
0.125300	0.069823
0.125400	0.069934
0.125500	0.070047
0.125600	0.070155
0.125700	0.070250
0.125800	0.070353
0.125900	0.070461
0.126000	0.070571
0.126100	0.070682
0.126200	0.070791
0.126300	0.070893
0.126400	0.070995
0.126500	0.071096
0.126600	0.071193
0.126700	0.071287
0.126800	0.071382
0.126900	0.071479
0.127000	0.071574
0.127100	0.071666
0.127200	0.071757
0.127300	0.071848
0.127400	0.071942
0.127500	0.072029
0.127600	0.072113
0.127700	0.072205
0.127800	0.072308
0.127900	0.072401
0.128000	0.072479
0.128100	0.072555
0.128200	0.072629
0.128300	0.072703
0.128400	0.072782
0.128500	0.072864
0.128600	0.072947
0.128700	0.073029
0.128800	0.073116
0.128900	0.073205
0.129000	0.073296
0.129100	0.073390
0.129200	0.073489
0.129300	0.073594
0.129400	0.073697
0.129500	0.073800
0.129600	0.073899
0.129700	0.074002
0.129800	0.074105
0.129900	0.074204
0.130000	0.074298
0.130100	0.074398
0.130200	0.074499
0.130300	0.074596
0.130400	0.074686
0.130500	0.074769
0.130600	0.074852
0.130700	0.074937
0.130800	0.075019
0.130900	0.075100
0.131000	0.075185
0.131100	0.075268
0.131200	0.075350
0.131300	0.075431
0.131400	0.075513
0.131500	0.075594
0.131600	0.075680
0.131700	0.075757
0.131800	0.075831
0.131900	0.075910
0.132000	0.075995
0.132100	0.076087
0.132200	0.076173
0.132300	0.076237
0.132400	0.076297
0.132500	0.076367
0.132600	0.076442
0.132700	0.076520
0.132800	0.076596
0.132900	0.076670
0.133000	0.076745
0.133100	0.076819
0.133200	0.076892
0.133300	0.076963
0.133400	0.077035
0.133500	0.077109
0.133600	0.077182
0.133700	0.077254
0.133800	0.077329
0.133900	0.077406
0.134000	0.077482
0.134100	0.077556
0.134200	0.077632
0.134300	0.077707
0.134400	0.077788
0.134500	0.077877
0.134600	0.077948
0.134700	0.078001
0.134800	0.078059
0.134900	0.078125
0.135000	0.078203
0.135100	0.078286
0.135200	0.078373
0.135300	0.078462
0.135400	0.078554
0.135500	0.078648
0.135600	0.078744
0.135700	0.078846
0.135800	0.078950
0.135900	0.079050
0.136000	0.079154
0.136100	0.079262
0.136200	0.079364
0.136300	0.079460
0.136400	0.079561
0.136500	0.079668
0.136600	0.079764
0.136700	0.079846
0.136800	0.079942
0.136900	0.080054
0.137000	0.080160
0.137100	0.080259
0.137200	0.080359
0.137300	0.080460
0.137400	0.080557
0.137500	0.080654
0.137600	0.080751
0.137700	0.080849
0.137800	0.080950
0.137900	0.081051
0.138000	0.081150
0.138100	0.081250
0.138200	0.081351
0.138300	0.081449
0.138400	0.081550
0.138500	0.081655
0.138600	0.081758
0.138700	0.081858
0.138800	0.081967
0.138900	0.082083
0.139000	0.082181
0.139100	0.082271
0.139200	0.082382
0.139300	0.082498
0.139400	0.082605
0.139500	0.082714
0.139600	0.082825
0.139700	0.082936
0.139800	0.083045
