delta_t	error
0.000100	0.000173
0.000200	0.000341
0.000300	0.000505
0.000400	0.000665
0.000500	0.000824
0.000600	0.000979
0.000700	0.001133
0.000800	0.001285
0.000900	0.001435
0.001000	0.001582
0.001100	0.001727
0.001200	0.001871
0.001300	0.002012
0.001400	0.002151
0.001500	0.002288
0.001600	0.002423
0.001700	0.002555
0.001800	0.002687
0.001900	0.002816
0.002000	0.002945
0.002100	0.003072
0.002200	0.003197
0.002300	0.003321
0.002400	0.003443
0.002500	0.003563
0.002600	0.003681
0.002700	0.003796
0.002800	0.003909
0.002900	0.004022
0.003000	0.004133
0.003100	0.004245
0.003200	0.004356
0.003300	0.004467
0.003400	0.004577
0.003500	0.004687
0.003600	0.004795
0.003700	0.004903
0.003800	0.005010
0.003900	0.005117
0.004000	0.005223
0.004100	0.005327
0.004200	0.005426
0.004300	0.005523
0.004400	0.005619
0.004500	0.005710
0.004600	0.005813
0.004700	0.005911
0.004800	0.006000
0.004900	0.006094
0.005000	0.006188
0.005100	0.006279
0.005200	0.006372
0.005300	0.006463
0.005400	0.006553
0.005500	0.006644
0.005600	0.006732
0.005700	0.006820
0.005800	0.006908
0.005900	0.006996
0.006000	0.007083
0.006100	0.007169
0.006200	0.007255
0.006300	0.007340
0.006400	0.007425
0.006500	0.007509
0.006600	0.007593
0.006700	0.007676
0.006800	0.007758
0.006900	0.007839
0.007000	0.007920
0.007100	0.008001
0.007200	0.008082
0.007300	0.008163
0.007400	0.008244
0.007500	0.008325
0.007600	0.008406
0.007700	0.008488
0.007800	0.008570
0.007900	0.008651
0.008000	0.008732
0.008100	0.008813
0.008200	0.008896
0.008300	0.008978
0.008400	0.009058
0.008500	0.009137
0.008600	0.009213
0.008700	0.009284
0.008800	0.009348
0.008900	0.009408
0.009000	0.009478
0.009100	0.009560
0.009200	0.009631
0.009300	0.009697
0.009400	0.009770
0.009500	0.009840
0.009600	0.009914
0.009700	0.009985
0.009800	0.010055
0.009900	0.010125
0.010000	0.010197
0.010100	0.010267
0.010200	0.010335
0.010300	0.010405
0.010400	0.010473
0.010500	0.010541
0.010600	0.010610
0.010700	0.010677
0.010800	0.010745
0.010900	0.010814
0.011000	0.010884
0.011100	0.010952
0.011200	0.011021
0.011300	0.011091
0.011400	0.011162
0.011500	0.011231
0.011600	0.011299
0.011700	0.011367
0.011800	0.011433
0.011900	0.011501
0.012000	0.011569
0.012100	0.011638
0.012200	0.011707
0.012300	0.011776
0.012400	0.011845
0.012500	0.011915
0.012600	0.011983
0.012700	0.012049
0.012800	0.012113
0.012900	0.012173
0.013000	0.012230
0.013100	0.012282
0.013200	0.012332
0.013300	0.012389
0.013400	0.012457
0.013500	0.012521
0.013600	0.012579
0.013700	0.012641
0.013800	0.012709
0.013900	0.012770
0.014000	0.012828
0.014100	0.012890
0.014200	0.012951
0.014300	0.013013
0.014400	0.013075
0.014500	0.013135
0.014600	0.013197
0.014700	0.013259
0.014800	0.013319
0.014900	0.013378
0.015000	0.013441
0.015100	0.013504
0.015200	0.013564
0.015300	0.013625
0.015400	0.013688
0.015500	0.013748
0.015600	0.013807
0.015700	0.013868
0.015800	0.013928
0.015900	0.013989
0.016000	0.014050
0.016100	0.014111
0.016200	0.014171
0.016300	0.014232
0.016400	0.014291
0.016500	0.014350
0.016600	0.014411
0.016700	0.014470
0.016800	0.014530
0.016900	0.014588
0.017000	0.014644
0.017100	0.014697
0.017200	0.014747
0.017300	0.014793
0.017400	0.014843
0.017500	0.014897
0.017600	0.014955
0.017700	0.015013
0.017800	0.015068
0.017900	0.015118
0.018000	0.015178
0.018100	0.015244
0.018200	0.015304
0.018300	0.015354
0.018400	0.015403
0.018500	0.015460
0.018600	0.015518
0.018700	0.015576
0.018800	0.015635
0.018900	0.015688
0.019000	0.015741
0.019100	0.015798
0.019200	0.015853
0.019300	0.015908
0.019400	0.015960
0.019500	0.016014
0.019600	0.016072
0.019700	0.016129
0.019800	0.016185
0.019900	0.016239
0.020000	0.016295
0.020100	0.016351
0.020200	0.016405
0.020300	0.016457
0.020400	0.016510
0.020500	0.016563
0.020600	0.016615
0.020700	0.016668
0.020800	0.016721
0.020900	0.016774
0.021000	0.016827
0.021100	0.016881
