order	delta_t	error
2	0.000100	0.000062
2	0.000200	0.000120
2	0.000300	0.000176
2	0.000400	0.000230
2	0.000500	0.000283
2	0.000600	0.000336
2	0.000700	0.000387
2	0.000800	0.000438
2	0.000900	0.000488
2	0.001000	0.000537
2	0.001100	0.000585
2	0.001200	0.000633
2	0.001300	0.000680
2	0.001400	0.000726
2	0.001500	0.000772
2	0.001600	0.000816
2	0.001700	0.000861
2	0.001800	0.000904
2	0.001900	0.000947
2	0.002000	0.000989
2	0.002100	0.001031
2	0.002200	0.001072
2	0.002300	0.001113
2	0.002400	0.001153
2	0.002500	0.001194
2	0.002600	0.001233
2	0.002700	0.001272
2	0.002800	0.001309
2	0.002900	0.001347
2	0.003000	0.001384
2	0.003100	0.001422
2	0.003200	0.001459
2	0.003300	0.001497
2	0.003400	0.001534
2	0.003500	0.001572
2	0.003600	0.001608
2	0.003700	0.001645
2	0.003800	0.001683
2	0.003900	0.001721
2	0.004000	0.001759
2	0.004100	0.001796
2	0.004200	0.001829
2	0.004300	0.001858
2	0.004400	0.001887
2	0.004500	0.001915
2	0.004600	0.001952
2	0.004700	0.001986
2	0.004800	0.002013
2	0.004900	0.002045
2	0.005000	0.002076
2	0.005100	0.002106
2	0.005200	0.002136
2	0.005300	0.002167
2	0.005400	0.002196
2	0.005500	0.002227
2	0.005600	0.002256
2	0.005700	0.002286
2	0.005800	0.002315
2	0.005900	0.002344
2	0.006000	0.002373
2	0.006100	0.002402
2	0.006200	0.002430
2	0.006300	0.002458
2	0.006400	0.002486
2	0.006500	0.002514
2	0.006600	0.002541
2	0.006700	0.002568
2	0.006800	0.002595
2	0.006900	0.002622
2	0.007000	0.002649
2	0.007100	0.002677
2	0.007200	0.002705
2	0.007300	0.002733
2	0.007400	0.002760
2	0.007500	0.002787
2	0.007600	0.002816
2	0.007700	0.002844
2	0.007800	0.002872
2	0.007900	0.002901
2	0.008000	0.002930
2	0.008100	0.002960
2	0.008200	0.002989
2	0.008300	0.003019
2	0.008400	0.003045
2	0.008500	0.003069
2	0.008600	0.003090
2	0.008700	0.003110
2	0.008800	0.003127
2	0.008900	0.003146
2	0.009000	0.003172
2	0.009100	0.003200
2	0.009200	0.003222
2	0.009300	0.003242
2	0.009400	0.003268
2	0.009500	0.003292
2	0.009600	0.003316
2	0.009700	0.003340
2	0.009800	0.003363
2	0.009900	0.003386
2	0.010000	0.003410
2	0.010100	0.003432
2	0.010200	0.003454
2	0.010300	0.003478
2	0.010400	0.003500
2	0.010500	0.003522
2	0.010600	0.003545
2	0.010700	0.003568
2	0.010800	0.003590
2	0.010900	0.003614
2	0.011000	0.003637
2	0.011100	0.003661
2	0.011200	0.003686
2	0.011300	0.003710
2	0.011400	0.003734
2	0.011500	0.003757
2	0.011600	0.003779
2	0.011700	0.003801
2	0.011800	0.003823
2	0.011900	0.003846
2	0.012000	0.003870
2	0.012100	0.003893
2	0.012200	0.003917
2	0.012300	0.003941
2	0.012400	0.003964
2	0.012500	0.003986
2	0.012600	0.004006
2	0.012700	0.004024
2	0.012800	0.004040
2	0.012900	0.004055
2	0.013000	0.004071
2	0.013100	0.004089
2	0.013200	0.004110
2	0.013300	0.004130
2	0.013400	0.004152
2	0.013500	0.004173
2	0.013600	0.004192
2	0.013700	0.004212
2	0.013800	0.004234
2	0.013900	0.004254
2	0.014000	0.004273
2	0.014100	0.004295
