order	delta_t	error
4	0.000100	0.000027
4	0.000200	0.000054
4	0.000300	0.000079
4	0.000400	0.000104
4	0.000500	0.000129
4	0.000600	0.000153
4	0.000700	0.000177
4	0.000800	0.000201
4	0.000900	0.000224
4	0.001000	0.000247
4	0.001100	0.000269
4	0.001200	0.000291
4	0.001300	0.000313
4	0.001400	0.000335
4	0.001500	0.000356
4	0.001600	0.000377
4	0.001700	0.000398
4	0.001800	0.000418
4	0.001900	0.000438
4	0.002000	0.000458
4	0.002100	0.000477
4	0.002200	0.000496
4	0.002300	0.000516
4	0.002400	0.000535
4	0.002500	0.000553
4	0.002600	0.000572
4	0.002700	0.000590
4	0.002800	0.000608
4	0.002900	0.000625
4	0.003000	0.000643
4	0.003100	0.000660
4	0.003200	0.000678
4	0.003300	0.000695
4	0.003400	0.000713
4	0.003500	0.000730
4	0.003600	0.000747
4	0.003700	0.000764
4	0.003800	0.000780
4	0.003900	0.000797
4	0.004000	0.000813
4	0.004100	0.000828
4	0.004200	0.000844
4	0.004300	0.000859
4	0.004400	0.000873
4	0.004500	0.000887
4	0.004600	0.000903
4	0.004700	0.000918
4	0.004800	0.000931
4	0.004900	0.000946
4	0.005000	0.000961
4	0.005100	0.000975
4	0.005200	0.000989
4	0.005300	0.001003
4	0.005400	0.001017
4	0.005500	0.001031
4	0.005600	0.001045
4	0.005700	0.001059
4	0.005800	0.001072
4	0.005900	0.001086
4	0.006000	0.001099
4	0.006100	0.001113
4	0.006200	0.001126
4	0.006300	0.001139
4	0.006400	0.001152
4	0.006500	0.001166
4	0.006600	0.001179
4	0.006700	0.001191
4	0.006800	0.001204
4	0.006900	0.001217
4	0.007000	0.001229
4	0.007100	0.001242
4	0.007200	0.001255
4	0.007300	0.001267
4	0.007400	0.001280
4	0.007500	0.001292
4	0.007600	0.001305
4	0.007700	0.001317
4	0.007800	0.001330
4	0.007900	0.001342
4	0.008000	0.001355
4	0.008100	0.001367
4	0.008200	0.001379
4	0.008300	0.001391
4	0.008400	0.001404
4	0.008500	0.001416
4	0.008600	0.001427
4	0.008700	0.001437
4	0.008800	0.001446
4	0.008900	0.001455
4	0.009000	0.001467
4	0.009100	0.001479
4	0.009200	0.001490
4	0.009300	0.001500
4	0.009400	0.001511
4	0.009500	0.001522
4	0.009600	0.001533
4	0.009700	0.001544
4	0.009800	0.001555
4	0.009900	0.001566
4	0.010000	0.001577
4	0.010100	0.001588
4	0.010200	0.001598
4	0.010300	0.001609
4	0.010400	0.001620
4	0.010500	0.001630
4	0.010600	0.001641
4	0.010700	0.001651
4	0.010800	0.001662
4	0.010900	0.001673
4	0.011000	0.001683
4	0.011100	0.001694
4	0.011200	0.001705
4	0.011300	0.001715
4	0.011400	0.001726
4	0.011500	0.001736
4	0.011600	0.001746
4	0.011700	0.001757
4	0.011800	0.001767
4	0.011900	0.001777
4	0.012000	0.001787
4	0.012100	0.001797
4	0.012200	0.001807
4	0.012300	0.001818
4	0.012400	0.001828
4	0.012500	0.001838
4	0.012600	0.001849
4	0.012700	0.001858
4	0.012800	0.001868
4	0.012900	0.001877
4	0.013000	0.001884
4	0.013100	0.001891
4	0.013200	0.001898
4	0.013300	0.001908
4	0.013400	0.001919
4	0.013500	0.001929
4	0.013600	0.001938
4	0.013700	0.001948
4	0.013800	0.001957
4	0.013900	0.001966
4	0.014000	0.001975
4	0.014100	0.001985
4	0.014200	0.001995
4	0.014300	0.002004
4	0.014400	0.002013
4	0.014500	0.002022
4	0.014600	0.002032
4	0.014700	0.002041
4	0.014800	0.002050
4	0.014900	0.002059
4	0.015000	0.002069
4	0.015100	0.002079
4	0.015200	0.002088
4	0.015300	0.002097
4	0.015400	0.002106
4	0.015500	0.002115
4	0.015600	0.002124
4	0.015700	0.002134
4	0.015800	0.002143
4	0.015900	0.002152
4	0.016000	0.002161
4	0.016100	0.002170
4	0.016200	0.002179
4	0.016300	0.002188
4	0.016400	0.002197
4	0.016500	0.002207
4	0.016600	0.002216
4	0.016700	0.002226
4	0.016800	0.002235
4	0.016900	0.002245
4	0.017000	0.002253
4	0.017100	0.002262
4	0.017200	0.002269
4	0.017300	0.002276
4	0.017400	0.002282
4	0.017500	0.002290
4	0.017600	0.002299
4	0.017700	0.002308
4	0.017800	0.002316
4	0.017900	0.002325
4	0.018000	0.002334
4	0.018100	0.002344
4	0.018200	0.002352
4	0.018300	0.002359
4	0.018400	0.002367
4	0.018500	0.002376
4	0.018600	0.002385
4	0.018700	0.002394
4	0.018800	0.002402
4	0.018900	0.002411
4	0.019000	0.002419
4	0.019100	0.002427
4	0.019200	0.002436
